time,vehicle_id,cargo_id,imei,lat,lng,speed,heading,accuracy
2026-07-02 16:09:05.459+08,1,SH-HZ-20260629-0291,861234567890123,29.61685,106.50339,0,0,5
2026-07-02 19:44:14.097+08,1,SH-HZ-20260629-0291,861234567890123,29.61623,106.50561,0,0,5
2026-07-02 19:44:14.176+08,1,SH-HZ-20260629-0291,861234567890123,29.61624,106.50561,0,0,5
2026-07-02 19:44:14.228+08,1,SH-HZ-20260629-0291,861234567890123,29.61627,106.50563,0,0,5
2026-07-02 19:44:14.247+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50561,0,0,5
2026-07-02 19:44:14.277+08,1,SH-HZ-20260629-0291,861234567890123,29.61627,106.50563,0,0,5
2026-07-02 19:44:14.29+08,1,SH-HZ-20260629-0291,861234567890123,29.61627,106.50561,0,0,5
2026-07-02 19:44:14.299+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50566,0,0,5
2026-07-02 19:44:14.315+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.325+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.34+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.357+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.372+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.381+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.393+08,1,SH-HZ-20260629-0291,861234567890123,29.61631,106.50564,0,0,5
2026-07-02 19:44:14.407+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.419+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.428+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.446+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.46+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.471+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.479+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.484+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.49+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.496+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.524+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.538+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.563+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.574+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.583+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50564,0,0,5
2026-07-02 19:44:14.593+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.615+08,1,SH-HZ-20260629-0291,861234567890123,29.61629,106.50563,0,0,5
2026-07-02 19:44:14.635+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50563,0,0,5
2026-07-02 19:44:14.653+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50563,0,0,5
2026-07-02 19:44:14.667+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50563,0,0,5
2026-07-02 19:44:14.681+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50563,0,0,5
2026-07-02 19:44:14.686+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.691+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.697+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.701+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.712+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.723+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.727+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.731+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.736+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.74+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.744+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.748+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.752+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.758+08,1,SH-HZ-20260629-0291,861234567890123,29.61628,106.50564,0,0,5
2026-07-02 19:44:14.766+08,1,SH-HZ-20260629-0291,861234567890123,29.61627,106.50564,0,0,5
2026-07-02 19:44:14.77+08,1,SH-HZ-20260629-0291,861234567890123,29.61627,106.50563,0,0,5
2026-07-02 19:44:14.776+08,1,SH-HZ-20260629-0291,861234567890123,29.61627,106.50563,0,0,5
2026-07-02 19:44:14.793+08,1,SH-HZ-20260629-0291,861234567890123,29.61625,106.50563,0,0,5
2026-07-02 19:44:14.803+08,1,SH-HZ-20260629-0291,861234567890123,29.61624,106.50563,0,0,5
2026-07-02 19:44:14.818+08,1,SH-HZ-20260629-0291,861234567890123,29.61624,106.50563,0,0,5
2026-07-02 19:44:14.824+08,1,SH-HZ-20260629-0291,861234567890123,29.61623,106.50564,0,0,5
2026-07-02 19:44:14.833+08,1,SH-HZ-20260629-0291,861234567890123,29.61623,106.50564,0,0,5
2026-07-02 19:44:14.837+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50564,0,0,5
2026-07-02 19:44:14.847+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50564,0,0,5
2026-07-02 19:44:14.852+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.857+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50563,0,0,5
2026-07-02 19:44:14.87+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50563,0,0,5
2026-07-02 19:44:14.879+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50563,0,0,5
2026-07-02 19:44:14.892+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50563,0,0,5
2026-07-02 19:44:14.899+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50563,0,0,5
2026-07-02 19:44:14.904+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50563,0,0,5
2026-07-02 19:44:14.912+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.919+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.924+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.932+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.937+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.941+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50561,0,0,5
2026-07-02 19:44:14.944+08,1,SH-HZ-20260629-0291,861234567890123,29.6162,106.50561,0,0,5
